./tests/run_tests.sh
[SKIP] test_func.c: EXPECT コメントなし
[PASS] test308.c (ブロック内 return / ブロック外 return) => 3
[PASS] test309.c (ブロック内 return / ブロック外 return) => 4
[PASS] test310.c (ブロック内 return / ブロック外 return) => 3
[PASS] test311.c (ブロック内 return / ブロック外 return) => 30
[PASS] test312.c (ブロック内 return / ブロック外 return) => 3
[PASS] test313.c (ブロック内 return / ブロック外 return) => 99
[PASS] test314.c (ブロック内 return / ブロック外 return) => 1
[PASS] test315.c (ブロック内 return / ブロック外 return) => 8
[PASS] test316.c (ブロック内 return / ブロック外 return) => 55
[PASS] test317.c (ブロック内 return / ブロック外 return) => 77
[PASS] test318.c (構造体タグ定義) => 0
[PASS] test319.c (構造体タグ定義) => 0
[PASS] test320.c (構造体タグ定義) => 0
[PASS] test321.c (構造体タグ定義) => 0
[PASS] test322.c (構造体変数宣言) => 0
[PASS] test323.c (構造体変数宣言(複数メンバ)) => 0
[PASS] test324.c (構造体変数宣言(他の変数と共存)) => 0
[PASS] test325.c (構造体変数宣言(構造体の後にint変数)) => 100
[PASS] test326.c (for文初期化での構造体変数定義) => 0
[PASS] test327.c (for文の構造体変数とint変数の共存) => 3
[PASS] test328.c (for文の構造体変数がスコープ外に漏れないこと(シャドーイング)) => 10
[PASS] test329.c (構造体変数に対するsizeof(メンバ1つ)) => 4
[PASS] test330.c (構造体変数に対するsizeof(メンバ2つ)) => 8
[PASS] test331.c (構造体変数に対するsizeof(アラインメントによるパディング)) => 8

===================================================
結果: 331 / 332 成功
===================================================
